python main_coco2.py --lr 0.003 --lmbd1 100000 --lmbd2 10 --anneal 100
train environment:  43
['/coyote', '/raccoon']
class_indices:  [(0, '/coyote'), (1, '/raccoon')]
train environment:  46
['/coyote', '/raccoon']
class_indices:  [(0, '/coyote'), (1, '/raccoon')]
['/coyote', '/raccoon']

working with 2 training environments: 
env['images']:  858
env['labels']:  858
class distribution:  582 coyotes and 276 raccoons. baseline accuracy 0.68 (always coyote).
env['images']:  753
env['labels']:  753
class distribution:  512 coyotes and 241 raccoons. baseline accuracy 0.68 (always coyote).
x_test:  522
y_test:  522
test class distribution:  144 coyotes and 378 raccoons. baseline accuracy 0.28 (always coyote).
Using GPU - True

========================================COCO========================================
{'n_restarts': 1, 'steps': 2001, 'n_classes': 2, 'fc_only': True, 'model_path': './models/', 'transform': {'train': Compose(
    CenterCrop(size=(224, 224))
    ToTensor()
    Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
), 'test': Compose(
    CenterCrop(size=(224, 224))
    ToTensor()
    Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
)}, 'loader_tr_args': {'batch_size': 100, 'num_workers': 1}, 'loader_te_args': {'batch_size': 100, 'num_workers': 1}, 'loader_sample_args': {'batch_size': 100, 'num_workers': 1}}
step            loss            train nll       train acc       dir_w           inv_w           test nll        test acc        test prec       test rec     
790             2.79996         0.30651         0.86644         0.31294         2.18050         0.47036         0.81788         0.85024         0.93122      
800             1.03642         0.30420         0.86671         0.30464         0.42758         0.43505         0.84394         0.84870         0.94974      
810             6.98377         0.30024         0.87290         0.29342         6.39011         0.44136         0.83409         0.84729         0.91005      
820             3.57412         0.30271         0.86567         0.29934         2.97206         0.45168         0.82985         0.84938         0.91005      
830             5.73497         0.30274         0.86632         0.30399         5.12823         0.44943         0.84227         0.85167         0.94180      
840             4.26314         0.31266         0.86103         0.31467         3.63581         0.49710         0.80030         0.84938         0.91005      
850             0.86268         0.30460         0.86818         0.29569         0.26240         0.45740         0.83818         0.84951         0.92593      
860             3.05710         0.30114         0.86718         0.29545         2.46050         0.49738         0.79136         0.84675         0.86243      
870             0.81210         0.30461         0.86494         0.30438         0.20311         0.44263         0.84152         0.85024         0.93122      
880             2.90728         0.30890         0.86644         0.30931         2.28907         0.44346         0.84394         0.84543         0.95503      
890             0.80000         0.30900         0.86106         0.30557         0.18543         0.45206         0.84318         0.85060         0.93386      
900             8.00754         0.30411         0.86529         0.29869         7.40475         0.46391         0.83061         0.84915         0.92328      
910             1.21268         0.30655         0.86547         0.30285         0.60328         0.49036         0.80682         0.84670         0.94974      
920             2.74394         0.30807         0.86261         0.30652         2.12934         0.47375         0.81288         0.84915         0.92328      
930             0.72364         0.30654         0.86526         0.30506         0.11204         0.44963         0.83636         0.84834         0.94709      
940             1.13164         0.30699         0.86232         0.31035         0.51430         0.48394         0.81273         0.84670         0.94974      
950             2.69213         0.30805         0.86310         0.30023         2.08385         0.44808         0.84485         0.85096         0.93651      
960             2.15465         0.30854         0.86232         0.31234         1.53377         0.44872         0.84212         0.84758         0.97090      
970             6.02036         0.30968         0.86077         0.31000         5.40068         0.43604         0.84303         0.84651         0.96296      
980             3.12398         0.30352         0.86448         0.29305         2.52742         0.48611         0.80697         0.84915         0.92328      
990             4.30750         0.31143         0.86201         0.30955         3.68651         0.44286         0.84470         0.84687         0.96561      
1000            2.28267         0.30653         0.86375         0.30118         1.67497         0.44126         0.85227         0.84722         0.96825      
1010            2.85249         0.30827         0.85844         0.31687         2.22735         0.45639         0.83621         0.84758         0.97090      
1020            1.33029         0.30780         0.86106         0.30901         0.71348         0.43785         0.84894         0.84651         0.96296      
1030            5.36277         0.30869         0.86125         0.31045         4.74362         0.44937         0.84470         0.84687         0.96561      
1040            1.73693         0.30536         0.86234         0.30224         1.12932         0.46074         0.83394         0.84988         0.92857      
1050            4.42725         0.30256         0.86430         0.30204         3.82265         0.45246         0.84136         0.84615         0.96032      
1060            1.13870         0.30776         0.86248         0.30953         0.52140         0.41627         0.86742         0.84633         0.97619      
1070            1.52341         0.30761         0.86312         0.30813         0.90767         0.45500         0.84470         0.84687         0.96561      
1080            6.77329         0.30639         0.86065         0.30437         6.16253         0.44172         0.85061         0.84687         0.96561      
1090            2.53121         0.30749         0.86297         0.30200         1.92172         0.44224         0.84212         0.84758         0.97090      
1100            1.49726         0.30703         0.86526         0.29829         0.89193         0.46371         0.82697         0.84687         0.96561      
1110            0.78812         0.31086         0.85778         0.31828         0.15898         0.43097         0.85652         0.84687         0.96561      
1120            1.87197         0.30597         0.86358         0.30711         1.25890         0.42749         0.85652         0.84687         0.96561      
1130            2.30975         0.30960         0.86168         0.31096         1.68919         0.43784         0.85061         0.84687         0.96561      
